         146265 function calls (144238 primitive calls) in 104.898 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/1    0.000    0.000  104.898  104.898 {built-in method builtins.exec}
        1    0.007    0.007  104.898  104.898 <string>:1(<module>)
        1    0.004    0.004  104.890  104.890 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/main_value_node.py:16(main)
        1    0.002    0.002   97.393   97.393 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/ml_logistic_regression.py:67(ml_logistic_regression_pipeline)
        1    0.010    0.010   97.107   97.107 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/ml_logistic_regression.py:14(__ml_logistic_regression_pipeline)
      795   88.790    0.112   88.790    0.112 {method 'acquire' of '_thread.lock' objects}
      207    0.001    0.000   88.784    0.429 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:288(wait)
      171    0.001    0.000   88.764    0.519 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:428(result)
        1    0.000    0.000   84.310   84.310 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/linear_model/_logistic.py:1130(fit)
        1    0.000    0.000   83.531   83.531 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/parallel.py:40(__call__)
        1    0.000    0.000   83.531   83.531 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:1000(__call__)
        1    0.000    0.000   83.275   83.275 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:960(retrieve)
        1    0.000    0.000   83.275   83.275 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_parallel_backends.py:562(wrap_future_result)
        2    0.031    0.016    7.492    3.746 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:160(load)
  452/304    0.614    0.001    6.889    0.023 {built-in method numpy.core._multiarray_umath.implement_array_function}
