         146265 function calls (144238 primitive calls) in 104.898 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.007    0.002    6.579    2.193 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:120(f_classif)
        1    0.001    0.001    6.055    6.055 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/commons/utils/ml_utils/ml_evaluate.py:11(evaluate)
        2    0.000    0.000    5.868    2.934 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:74(parallel_load_samples_and_labels_from_all_csv_files)
      116    0.000    0.000    5.537    0.048 <__array_function__ internals>:177(unique)
      116    0.004    0.000    5.536    0.048 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:138(unique)
      116    0.293    0.003    5.532    0.048 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
      172    0.000    0.000    5.490    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:612(result_iterator)
      170    0.001    0.000    5.490    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:314(_result_or_cancel)
      116    4.997    0.043    4.997    0.043 {method 'sort' of 'numpy.ndarray' objects}
        1    0.000    0.000    4.116    4.116 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:2195(classification_report)
        3    0.000    0.000    4.098    1.366 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:43(f_oneway)
        4    0.002    0.001    3.723    0.931 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:1406(precision_recall_fscore_support)
       64    0.000    0.000    3.112    0.049 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_array_api.py:83(unique_values)
      312    0.857    0.003    3.070    0.010 {built-in method builtins.sum}
      149    2.562    0.017    2.562    0.017 {method 'reduce' of 'numpy.ufunc' objects}
    11/10    0.000    0.000    2.546    0.255 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_set_output.py:138(wrapped)
       11    0.000    0.000    2.266    0.206 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:59(_check_targets)
       44    0.001    0.000    2.257    0.051 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:221(type_of_target)
        9    0.007    0.001    2.213    0.246 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:96(<genexpr>)
        1    0.000    0.000    2.095    2.095 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/base.py:850(fit_transform)
        4    0.055    0.014    2.054    0.513 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:389(multilabel_confusion_matrix)
       23    0.000    0.000    2.017    0.088 {method 'sum' of 'numpy.ndarray' objects}
       23    0.000    0.000    2.017    0.088 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/_methods.py:47(_sum)
        1    0.002    0.002    1.980    1.980 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:448(fit)
       10    0.000    0.000    1.789    0.179 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:44(unique_labels)
        3    1.762    0.587    1.762    0.587 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:147(<listcomp>)
        4    0.000    0.000    1.666    0.417 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:1365(_check_set_wise_labels)
        2    0.000    0.000    1.571    0.785 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_cleaning.py:5(clean)
       11    0.000    0.000    1.216    0.111 <__array_function__ internals>:177(union1d)
       11    0.002    0.000    1.215    0.110 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:898(union1d)
        6    0.751    0.125    1.189    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/__init__.py:688(safe_sqr)
        2    0.000    0.000    1.174    0.587 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:10565(nunique)
        2    0.000    0.000    1.174    0.587 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:9276(apply)
        2    0.000    0.000    1.173    0.587 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:645(apply)
        2    0.000    0.000    1.173    0.587 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:797(apply_standard)
        2    0.000    0.000    1.173    0.586 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:803(apply_series_generator)
       36    0.000    0.000    1.170    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:132(f)
       36    0.000    0.000    1.170    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/base.py:1033(nunique)
       36    0.000    0.000    1.168    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/series.py:2127(unique)
       36    0.000    0.000    1.168    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/base.py:1024(unique)
       36    0.000    0.000    1.168    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:295(unique)
       36    0.001    0.000    1.168    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:415(unique_with_mask)
       36    1.165    0.032    1.165    0.032 {method 'unique' of 'pandas._libs.hashtable.Int32HashTable' objects}
        3    0.000    0.000    1.001    0.334 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:97(<listcomp>)
       30    0.000    0.000    0.927    0.031 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:81(<genexpr>)
      100    0.894    0.009    0.894    0.009 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.883    0.294 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:93(<listcomp>)
        9    0.000    0.000    0.883    0.098 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:198(as_float_array)
       30    0.000    0.000    0.861    0.029 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:114(<genexpr>)
       20    0.000    0.000    0.860    0.043 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:23(_unique_multiclass)
      145    0.002    0.000    0.827    0.006 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:629(check_array)
        8    0.000    0.000    0.625    0.078 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:149(concat)
        8    0.000    0.000    0.620    0.078 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:565(get_result)
        4    0.000    0.000    0.580    0.145 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/concat.py:175(concatenate_managers)
       91    0.000    0.000    0.534    0.006 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
       14    0.000    0.000    0.533    0.038 <__array_function__ internals>:177(sum)
       14    0.000    0.000    0.533    0.038 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2188(sum)
       21    0.000    0.000    0.528    0.025 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:96(_assert_all_finite)
        1    0.004    0.004    0.439    0.439 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:232(confusion_matrix)
       25    0.000    0.000    0.427    0.017 <__array_function__ internals>:177(concatenate)
        8    0.000    0.000    0.417    0.052 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/preprocessing/_label.py:120(transform)
        8    0.000    0.000    0.416    0.052 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_encode.py:193(_encode)
        2    0.000    0.000    0.396    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexing.py:1089(__getitem__)
        2    0.000    0.000    0.396    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexing.py:1277(_getitem_tuple)
        2    0.000    0.000    0.396    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexing.py:942(_getitem_tuple_same_dim)
        2    0.000    0.000    0.396    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexing.py:1309(_getitem_axis)
        2    0.000    0.000    0.396    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexing.py:1117(_getbool_axis)
        2    0.000    0.000    0.396    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/generic.py:3940(_take_with_is_copy)
        2    0.000    0.000    0.396    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/generic.py:3911(_take)
        2    0.000    0.000    0.395    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/managers.py:929(take)
        2    0.000    0.000    0.395    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
        2    0.000    0.000    0.395    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/managers.py:768(_slice_take_blocks_ax0)
        6    0.000    0.000    0.395    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/array_algos/take.py:58(take_nd)
        6    0.000    0.000    0.395    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
        2    0.000    0.000    0.395    0.198 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/blocks.py:926(take_nd)
        2    0.395    0.197    0.395    0.197 {pandas._libs.algos.take_2d_axis0_int32_int32}
        5    0.000    0.000    0.383    0.077 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:981(check_X_y)
        5    0.000    0.000    0.380    0.076 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/base.py:483(_validate_data)
        8    0.000    0.000    0.331    0.041 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_encode.py:235(_check_unknown)
      187    0.001    0.000    0.284    0.002 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_array_api.py:168(_asarray_with_order)
1210/1182    0.284    0.000    0.284    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.283    0.283 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/pipeline_utils.py:27(split_samples_and_labels)
        2    0.000    0.000    0.283    0.142 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/pipeline_utils.py:8(handle_data_origin)
       18    0.263    0.015    0.263    0.015 {method 'copy' of 'numpy.ndarray' objects}
      116    0.241    0.002    0.241    0.002 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.240    0.240 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_ranking.py:904(roc_curve)
        1    0.032    0.032    0.238    0.238 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_ranking.py:712(_binary_clf_curve)
        1    0.000    0.000    0.202    0.202 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:169(wrapper)
        1    0.002    0.002    0.201    0.201 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:146(accuracy_score)
        1    0.000    0.000    0.200    0.200 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:198(check_classification_targets)
        1    0.006    0.006    0.191    0.191 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/linear_model/_base.py:404(predict)
       65    0.000    0.000    0.185    0.003 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
       12    0.000    0.000    0.177    0.015 <__array_function__ internals>:177(bincount)
        2    0.000    0.000    0.148    0.074 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_base.py:68(transform)
        2    0.145    0.072    0.145    0.073 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_base.py:92(_transform)
        2    0.000    0.000    0.142    0.071 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:838(dispatch_one_batch)
        1    0.000    0.000    0.142    0.142 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:801(_dispatch)
        1    0.000    0.000    0.142    0.142 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_parallel_backends.py:554(apply_async)
        1    0.000    0.000    0.142    0.142 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/reusable_executor.py:174(submit)
        1    0.000    0.000    0.142    0.142 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/process_executor.py:1126(submit)
        1    0.000    0.000    0.142    0.142 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/process_executor.py:1118(_ensure_executor_running)
        1    0.001    0.001    0.140    0.140 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/process_executor.py:1096(_adjust_process_count)
        1    0.013    0.013    0.135    0.135 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/linear_model/_base.py:378(decision_function)
       10    0.000    0.000    0.134    0.013 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/multiprocessing/process.py:110(start)
       10    0.000    0.000    0.134    0.013 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/process.py:26(_Popen)
       10    0.001    0.000    0.133    0.013 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:41(__init__)
       10    0.003    0.000    0.132    0.013 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:90(_launch)
       11    0.001    0.000    0.123    0.011 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/fork_exec.py:32(fork_exec)
        1    0.122    0.122    0.122    0.122 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/extmath.py:156(safe_sparse_dot)
       11    0.118    0.011    0.119    0.011 {built-in method posix.fork}
        1    0.000    0.000    0.100    0.100 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:797(_terminate_backend)
        1    0.000    0.000    0.100    0.100 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_parallel_backends.py:571(terminate)
        1    0.000    0.000    0.100    0.100 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_memmapping_reducer.py:616(_unlink_temporary_resources)
        1    0.000    0.000    0.100    0.100 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_memmapping_reducer.py:648(_try_delete_folder)
        1    0.000    0.000    0.100    0.100 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/disk.py:105(delete_folder)
        1    0.100    0.100    0.100    0.100 {built-in method time.sleep}
       12    0.000    0.000    0.085    0.007 <__array_function__ internals>:177(searchsorted)
       12    0.000    0.000    0.085    0.007 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1345(searchsorted)
       12    0.085    0.007    0.085    0.007 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.049    0.049 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/extmath.py:1115(stable_cumsum)
        1    0.000    0.000    0.048    0.048 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_base.py:202(_check_pos_label_consistency)
        1    0.000    0.000    0.044    0.044 <__array_function__ internals>:177(cumsum)
        1    0.000    0.000    0.044    0.044 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2523(cumsum)
        1    0.044    0.044    0.044    0.044 {method 'cumsum' of 'numpy.ndarray' objects}
       44    0.038    0.001    0.038    0.001 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.038    0.038 <__array_function__ internals>:177(take)
        1    0.000    0.000    0.038    0.038 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:93(take)
        4    0.000    0.000    0.036    0.009 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:32(concat_compat)
        2    0.000    0.000    0.027    0.014 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:583(map)
        2    0.000    0.000    0.027    0.014 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:608(<listcomp>)
      170    0.001    0.000    0.027    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/thread.py:161(submit)
      170    0.001    0.000    0.025    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/thread.py:180(_adjust_thread_count)
        1    0.000    0.000    0.022    0.022 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/scipy/sparse/_coo.py:320(toarray)
        1    0.022    0.022    0.022    0.022 {built-in method scipy.sparse._sparsetools.coo_todense}
       13    0.000    0.000    0.022    0.002 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:938(start)
       13    0.000    0.000    0.020    0.002 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:604(wait)
        5    0.000    0.000    0.018    0.004 <__array_function__ internals>:177(argsort)
        5    0.000    0.000    0.018    0.004 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1038(argsort)
        5    0.018    0.004    0.018    0.004 {method 'argsort' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.016    0.008 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:135(get_all_filepath_per_type)
        1    0.000    0.000    0.013    0.013 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:772(_initialize_backend)
        1    0.000    0.000    0.013    0.013 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_parallel_backends.py:498(configure)
        1    0.000    0.000    0.012    0.012 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/executor.py:19(get_memmapping_executor)
        1    0.000    0.000    0.012    0.012 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/executor.py:25(get_memmapping_executor)
       20    0.000    0.000    0.011    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/reduction.py:201(dump)
        9    0.000    0.000    0.011    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_array_api.py:66(astype)
       41    0.000    0.000    0.011    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/resource_tracker.py:91(ensure_running)
       18    0.000    0.000    0.011    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/resource_tracker.py:176(register)
       29    0.000    0.000    0.010    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1479(info)
        2    0.000    0.000    0.010    0.005 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_memmapping_reducer.py:541(register_new_context)
        1    0.000    0.000    0.010    0.010 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_memmapping_reducer.py:522(__init__)
        1    0.000    0.000    0.010    0.010 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_memmapping_reducer.py:537(set_current_context)
       29    0.000    0.000    0.010    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1610(_log)
        2    0.000    0.000    0.010    0.005 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_memmapping_reducer.py:587(register_folder_finalizer)
        2    0.000    0.000    0.010    0.005 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:13(glob)
        1    0.000    0.000    0.010    0.010 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/loky/backend/resource_tracker.py:351(spawnv_passfds)
2082/2078    0.001    0.000    0.010    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:60(_iglob)
       29    0.000    0.000    0.008    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1636(handle)
       29    0.000    0.000    0.008    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1690(callHandlers)
       58    0.000    0.000    0.008    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:965(handle)
        2    0.000    0.000    0.008    0.004 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:646(__exit__)
        2    0.000    0.000    0.008    0.004 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/thread.py:216(shutdown)
       12    0.000    0.000    0.008    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:1080(join)
       12    0.000    0.000    0.008    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:1118(_wait_for_tstate_lock)
       58    0.000    0.000    0.008    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1098(emit)
        3    0.000    0.000    0.008    0.003 <__array_function__ internals>:177(diff)
        3    0.008    0.003    0.008    0.003 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/function_base.py:1320(diff)
        1    0.000    0.000    0.007    0.007 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/scipy/sparse/_coo.py:127(__init__)
        1    0.000    0.000    0.007    0.007 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/scipy/sparse/_coo.py:266(_check)
       20    0.000    0.000    0.007    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/externals/cloudpickle/cloudpickle_fast.py:630(dump)
       20    0.002    0.000    0.007    0.000 {function CloudPickler.dump at 0x7f9b4920dbc0}
   101/99    0.001    0.000    0.007    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/series.py:368(__init__)
        2    0.000    0.000    0.007    0.003 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:150(log_positive_and_negative_labels)
       34    0.000    0.000    0.007    0.000 <__array_function__ internals>:177(copyto)
       13    0.000    0.000    0.006    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/numeric.py:150(ones)
        4    0.000    0.000    0.006    0.002 {method 'min' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.006    0.002 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/_methods.py:43(_amin)
        2    0.000    0.000    0.006    0.003 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/commons/utils/data_utils.py:4(count_positive_and_negative_labels)
