         39002 function calls (38690 primitive calls) in 1.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.066    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexing.py:1117(_getbool_axis)
        1    0.000    0.000    0.066    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/generic.py:3940(_take_with_is_copy)
        1    0.000    0.000    0.066    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/generic.py:3911(_take)
        1    0.000    0.000    0.066    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/managers.py:929(take)
        1    0.000    0.000    0.066    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
        1    0.000    0.000    0.066    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/managers.py:768(_slice_take_blocks_ax0)
        3    0.000    0.000    0.066    0.022 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/array_algos/take.py:58(take_nd)
        3    0.000    0.000    0.066    0.022 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
        1    0.000    0.000    0.066    0.066 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/blocks.py:926(take_nd)
        1    0.066    0.066    0.066    0.066 {pandas._libs.algos.take_2d_axis0_int32_int32}
        1    0.000    0.000    0.055    0.055 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:93(<listcomp>)
        2    0.000    0.000    0.055    0.028 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:198(as_float_array)
       30    0.055    0.002    0.055    0.002 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.052    0.052 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/pipeline_utils.py:27(split_samples_and_labels)
        1    0.000    0.000    0.052    0.052 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/pipeline_utils.py:8(handle_data_origin)
        3    0.047    0.016    0.047    0.016 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.042    0.021 <__array_function__ internals>:177(unique)
        2    0.000    0.000    0.042    0.021 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:138(unique)
        2    0.003    0.002    0.042    0.021 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
        3    0.036    0.012    0.036    0.012 {method 'sort' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.026    0.006 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:629(check_array)
        4    0.000    0.000    0.024    0.006 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:96(_assert_all_finite)
        9    0.000    0.000    0.024    0.003 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
        3    0.000    0.000    0.024    0.008 <__array_function__ internals>:177(sum)
        3    0.000    0.000    0.024    0.008 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2188(sum)
        1    0.000    0.000    0.010    0.010 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.010    0.010 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/thread.py:216(shutdown)
        6    0.000    0.000    0.010    0.002 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:1080(join)
        6    0.000    0.000    0.010    0.002 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:1118(_wait_for_tstate_lock)
        2    0.000    0.000    0.007    0.004 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:32(concat_compat)
        1    0.000    0.000    0.005    0.005 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:135(get_all_filepath_per_type)
        1    0.000    0.000    0.004    0.004 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:583(map)
        1    0.000    0.000    0.004    0.004 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:608(<listcomp>)
       16    0.000    0.000    0.004    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/thread.py:161(submit)
       16    0.000    0.000    0.004    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/thread.py:180(_adjust_thread_count)
        6    0.000    0.000    0.004    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:938(start)
        6    0.000    0.000    0.004    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:604(wait)
        1    0.000    0.000    0.003    0.003 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:13(glob)
1041/1039    0.000    0.000    0.003    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:60(_iglob)
        2    0.003    0.002    0.003    0.002 {method 'flatten' of 'numpy.ndarray' objects}
       28    0.000    0.000    0.002    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1479(info)
       28    0.000    0.000    0.002    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1610(_log)
        1    0.000    0.000    0.002    0.002 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:150(log_positive_and_negative_labels)
