         146468 function calls (144441 primitive calls) in 101.579 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/1    0.000    0.000  101.579  101.579 {built-in method builtins.exec}
        1    0.007    0.007  101.579  101.579 <string>:1(<module>)
        1    0.005    0.005  101.572  101.572 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/main_value_node.py:16(main)
        1    0.002    0.002   94.736   94.736 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/ml_logistic_regression.py:67(ml_logistic_regression_pipeline)
        1    0.009    0.009   94.461   94.461 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/ml_logistic_regression.py:14(__ml_logistic_regression_pipeline)
      793   86.554    0.109   86.554    0.109 {method 'acquire' of '_thread.lock' objects}
      206    0.001    0.000   86.543    0.420 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:288(wait)
      171    0.001    0.000   86.531    0.506 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:428(result)
        1    0.000    0.000   82.742   82.742 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/linear_model/_logistic.py:1130(fit)
        1    0.000    0.000   81.882   81.882 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/parallel.py:40(__call__)
        1    0.000    0.000   81.882   81.882 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:1000(__call__)
        1    0.000    0.000   81.635   81.635 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:960(retrieve)
        1    0.000    0.000   81.635   81.635 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_parallel_backends.py:562(wrap_future_result)
        2    0.030    0.015    6.830    3.415 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:160(load)
  452/304    0.617    0.001    6.644    0.022 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.001    0.001    5.979    5.979 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/commons/utils/ml_utils/ml_evaluate.py:11(evaluate)
        3    0.008    0.003    5.578    1.859 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:120(f_classif)
      116    0.000    0.000    5.466    0.047 <__array_function__ internals>:177(unique)
      116    0.004    0.000    5.466    0.047 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:138(unique)
      116    0.283    0.002    5.462    0.047 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
        2    0.000    0.000    5.273    2.637 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:74(parallel_load_samples_and_labels_from_all_csv_files)
      116    4.936    0.043    4.936    0.043 {method 'sort' of 'numpy.ndarray' objects}
      172    0.000    0.000    4.897    0.028 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:612(result_iterator)
      170    0.001    0.000    4.897    0.029 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:314(_result_or_cancel)
        1    0.000    0.000    4.178    4.178 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:2195(classification_report)
        4    0.003    0.001    3.821    0.955 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:1406(precision_recall_fscore_support)
        3    0.000    0.000    3.723    1.241 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:43(f_oneway)
       64    0.000    0.000    3.134    0.049 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_array_api.py:83(unique_values)
      312    0.849    0.003    2.888    0.009 {built-in method builtins.sum}
      149    2.464    0.017    2.464    0.017 {method 'reduce' of 'numpy.ufunc' objects}
    11/10    0.000    0.000    2.400    0.240 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_set_output.py:138(wrapped)
       11    0.000    0.000    2.274    0.207 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:59(_check_targets)
       44    0.001    0.000    2.254    0.051 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:221(type_of_target)
        4    0.051    0.013    2.241    0.560 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:389(multilabel_confusion_matrix)
       23    0.000    0.000    2.055    0.089 {method 'sum' of 'numpy.ndarray' objects}
       23    0.000    0.000    2.055    0.089 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/_methods.py:47(_sum)
        9    0.008    0.001    2.039    0.227 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:96(<genexpr>)
        1    0.000    0.000    1.929    1.929 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/base.py:850(fit_transform)
        1    0.002    0.002    1.816    1.816 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:448(fit)
       10    0.000    0.000    1.790    0.179 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:44(unique_labels)
        4    0.000    0.000    1.575    0.394 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:1365(_check_set_wise_labels)
        2    0.000    0.000    1.506    0.753 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_cleaning.py:5(clean)
        3    1.233    0.411    1.233    0.411 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:147(<listcomp>)
       11    0.000    0.000    1.178    0.107 <__array_function__ internals>:177(union1d)
       11    0.002    0.000    1.178    0.107 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:898(union1d)
        2    0.000    0.000    1.146    0.573 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:10565(nunique)
        2    0.000    0.000    1.146    0.573 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:9276(apply)
        2    0.000    0.000    1.146    0.573 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:645(apply)
        2    0.000    0.000    1.146    0.573 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:797(apply_standard)
        2    0.000    0.000    1.145    0.573 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:803(apply_series_generator)
       36    0.000    0.000    1.142    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:132(f)
       36    0.000    0.000    1.142    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/base.py:1033(nunique)
       36    0.000    0.000    1.141    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/series.py:2127(unique)
       36    0.000    0.000    1.141    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/base.py:1024(unique)
       36    0.000    0.000    1.141    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:295(unique)
       36    0.001    0.000    1.141    0.032 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:415(unique_with_mask)
       36    1.137    0.032    1.137    0.032 {method 'unique' of 'pandas._libs.hashtable.Int32HashTable' objects}
        3    0.000    0.000    1.027    0.342 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:97(<listcomp>)
        6    0.696    0.116    1.003    0.167 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/__init__.py:688(safe_sqr)
       30    0.000    0.000    0.903    0.030 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:81(<genexpr>)
       30    0.000    0.000    0.886    0.030 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:114(<genexpr>)
       20    0.000    0.000    0.886    0.044 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:23(_unique_multiclass)
      145    0.002    0.000    0.759    0.005 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:629(check_array)
      100    0.666    0.007    0.666    0.007 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.655    0.218 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:93(<listcomp>)
        9    0.000    0.000    0.655    0.073 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:198(as_float_array)
        8    0.000    0.000    0.618    0.077 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:149(concat)
        8    0.000    0.000    0.614    0.077 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:565(get_result)
        4    0.000    0.000    0.577    0.144 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/concat.py:175(concatenate_managers)
        5    0.000    0.000    0.445    0.089 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/base.py:483(_validate_data)
        5    0.000    0.000    0.445    0.089 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:981(check_X_y)
