         146255 function calls (144228 primitive calls) in 88.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/1    0.000    0.000   88.466   88.466 {built-in method builtins.exec}
        1    0.007    0.007   88.466   88.466 <string>:1(<module>)
        1    0.006    0.006   88.459   88.459 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/main_value_node.py:16(main)
        1    0.002    0.002   83.592   83.592 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/ml_logistic_regression.py:67(ml_logistic_regression_pipeline)
        1    0.009    0.009   83.353   83.353 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/ml_logistic_regression.py:14(__ml_logistic_regression_pipeline)
      793   74.744    0.094   74.744    0.094 {method 'acquire' of '_thread.lock' objects}
      206    0.001    0.000   74.734    0.363 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:288(wait)
      171    0.000    0.000   74.728    0.437 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:428(result)
        1    0.000    0.000   72.396   72.396 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/linear_model/_logistic.py:1130(fit)
        1    0.000    0.000   71.698   71.698 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/parallel.py:40(__call__)
        1    0.000    0.000   71.698   71.698 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:1000(__call__)
        1    0.000    0.000   71.495   71.495 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/parallel.py:960(retrieve)
        1    0.000    0.000   71.495   71.495 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/joblib/_parallel_backends.py:562(wrap_future_result)
  452/304    0.557    0.001    6.149    0.020 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.001    0.001    5.678    5.678 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/commons/utils/ml_utils/ml_evaluate.py:11(evaluate)
        3    0.007    0.002    5.124    1.708 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:120(f_classif)
      116    0.000    0.000    5.055    0.044 <__array_function__ internals>:177(unique)
      116    0.004    0.000    5.054    0.044 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:138(unique)
      116    0.258    0.002    5.050    0.044 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
        2    0.020    0.010    4.860    2.430 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:160(load)
      116    4.570    0.039    4.570    0.039 {method 'sort' of 'numpy.ndarray' objects}
        1    0.000    0.000    3.860    3.860 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:2195(classification_report)
        2    0.000    0.000    3.565    1.782 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:74(parallel_load_samples_and_labels_from_all_csv_files)
        4    0.002    0.001    3.496    0.874 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:1406(precision_recall_fscore_support)
        3    0.000    0.000    3.376    1.125 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:43(f_oneway)
      172    0.000    0.000    3.233    0.019 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:612(result_iterator)
      170    0.000    0.000    3.233    0.019 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:314(_result_or_cancel)
       64    0.000    0.000    2.921    0.046 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_array_api.py:83(unique_values)
      312    0.868    0.003    2.702    0.009 {built-in method builtins.sum}
    11/10    0.000    0.000    2.224    0.222 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/_set_output.py:138(wrapped)
      149    2.197    0.015    2.197    0.015 {method 'reduce' of 'numpy.ufunc' objects}
       11    0.000    0.000    2.093    0.190 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:59(_check_targets)
       44    0.001    0.000    2.082    0.047 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/multiclass.py:221(type_of_target)
        4    0.047    0.012    2.047    0.512 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/metrics/_classification.py:389(multilabel_confusion_matrix)
